#divider:1
[2026-05-28 09:35:04] [CRITICAL] CPU=97.6% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.8% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.5% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.9% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.9% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.4% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.3% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.5% | RAM=35.9%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.9% | RAM=35.9%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.8% | RAM=35.8%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.9% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.3% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=98.0% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.8% | RAM=35.8%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.9% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.0% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.8% | RAM=35.9%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.3% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.7% | RAM=35.8%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.4% | RAM=35.8%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.7% | RAM=35.8%
[2026-05-28 09:35:05] [CRITICAL] CPU=97.8% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.4% | RAM=35.7%
[2026-05-28 09:35:04] [CRITICAL] CPU=97.7% | RAM=35.9%
[2026-05-28 09:35:05] [CRITICAL] CPU=98.0% | RAM=35.7%
[2026-05-28 09:35:05] [CRITICAL] CPU=95.9% | RAM=35.7%
